,stu_ori,stu_now,update_iter
0,"[0.34453365206718445, 0.2225327342748642, 0.1565113067626953, 0.15596698224544525, 0.1606704741716385, 0.15308810770511627, 0.16700491309165955, 0.17925864458084106, 0.1881500482559204, 0.18817444145679474, 0.20557570457458496, 0.2164321392774582, 0.1930280476808548, 0.20815081894397736, 0.219331756234169, 0.2353658825159073, 0.2352239042520523, 0.2154940962791443, 0.2029106318950653, 0.19975586235523224]",[0.3430662751197815],1
1,[0.3145501911640167],[0.31291326880455017],1
2,[0.3093653917312622],[0.306868314743042],1
3,[0.3296131193637848],[0.32668548822402954],1
4,[0.30465859174728394],[0.3025699555873871],1
5,[0.3016112446784973],[0.29914236068725586],1
6,[0.30339381098747253],[0.3017251193523407],1
7,[0.22317564487457275],[0.22182446718215942],1
8,[0.29618653655052185],[0.29418209195137024],1
9,[0.2945874035358429],[0.29191771149635315],1
10,[0.26772749423980713],[0.26583296060562134],1
11,[0.30439049005508423],[0.3012256920337677],1
12,[0.3036416172981262],[0.3009367883205414],1
13,[0.3042714297771454],[0.30155396461486816],1
14,[0.3072018623352051],[0.30545228719711304],1
15,[0.3301466703414917],[0.32794737815856934],1
16,[0.21671850979328156],[0.215454563498497],1
17,[0.3131016194820404],[0.31045761704444885],1
18,[0.2982090711593628],[0.2958466410636902],1
19,[0.2668987810611725],[0.2644840478897095],1
20,[0.25916212797164917],[0.25775009393692017],1
21,[0.27648329734802246],[0.27526915073394775],1
22,[0.2198067307472229],[0.21881325542926788],1
23,[0.23828798532485962],[0.23753012716770172],1
24,[0.313769668340683],[0.312221497297287],1
25,[0.2858056426048279],[0.28432416915893555],1
26,[0.25716450810432434],[0.2557523846626282],1
27,[0.2830265760421753],[0.2814426124095917],1
28,[0.30075472593307495],[0.29910925030708313],1
29,[0.24362337589263916],[0.24239502847194672],1
30,[0.2805555462837219],[0.279350608587265],1
31,[0.2605288326740265],[0.2594347894191742],1
32,[0.2361065149307251],[0.2355489879846573],1
33,[0.29238393902778625],[0.29127657413482666],1
34,[0.25344711542129517],[0.2522982954978943],1
35,[0.2248430699110031],[0.22386334836483002],1
36,[0.24882665276527405],[0.24734674394130707],1
37,[0.2728986144065857],[0.2724132537841797],1
38,[0.23615986108779907],[0.23309127986431122],1
39,[0.2828660011291504],[0.28182587027549744],1
40,[0.2440360188484192],[0.24305997788906097],1
41,[0.1865982860326767],[0.1857912689447403],1
42,[0.2502741813659668],[0.24927031993865967],1
43,[0.22119995951652527],[0.22023729979991913],1
44,[0.25461727380752563],[0.25345051288604736],1
45,[0.26867425441741943],[0.2678053677082062],1
46,[0.24262456595897675],[0.24192741513252258],1
47,"[0.23940308392047882, 0.25277596712112427]","[0.24039539694786072, 0.2523690462112427]",2
48,[0.21209968626499176],[0.21170026063919067],1
49,"[0.2534205913543701, 0.2506193518638611]","[0.2536969482898712, 0.2504528760910034]",2
50,[0.24675261974334717],[0.24666190147399902],1
51,[0.252553254365921],[0.252201110124588],1
52,[0.24959369003772736],[0.24884644150733948],1
53,[0.248979389667511],[0.24832279980182648],1
54,[0.22750848531723022],[0.2265423834323883],1
55,[0.19891279935836792],[0.19840100407600403],1
56,[0.2435321807861328],[0.24303892254829407],1
57,[0.20985406637191772],[0.20899173617362976],1
58,[0.23574966192245483],[0.23545651137828827],1
59,[0.22151482105255127],[0.22071686387062073],1
60,[0.19237452745437622],[0.1917564570903778],1
61,[0.20458053052425385],[0.20408566296100616],1
62,[0.17864231765270233],[0.17835745215415955],1
63,[0.22392556071281433],[0.2239200323820114],1
64,[0.25201863050460815],[0.25175657868385315],1
65,[0.19792000949382782],[0.19772152602672577],1
66,[0.22723355889320374],[0.22693359851837158],1
67,[0.22892774641513824],[0.22848722338676453],1
68,[0.268724650144577],[0.26850801706314087],1
69,[0.24612349271774292],[0.2458406537771225],1
70,[0.19776378571987152],[0.19745969772338867],1
71,[0.22471162676811218],[0.22455233335494995],1
72,[0.24811482429504395],[0.24784231185913086],1
73,[0.2573360502719879],[0.2568383812904358],1
74,[0.24016737937927246],[0.2397238314151764],1
75,[0.15577882528305054],[0.15524299442768097],1
76,[0.20402823388576508],[0.20369073748588562],1
77,[0.23724006116390228],[0.23664680123329163],1
78,[0.20599035918712616],[0.2054709643125534],1
79,[0.24643518030643463],[0.2461649626493454],1
80,[0.18871119618415833],[0.18853630125522614],1
81,[0.22033248841762543],[0.22001062333583832],1
82,[0.2362254559993744],[0.23572136461734772],1
83,[0.24112407863140106],[0.24072600901126862],1
84,[0.24021588265895844],[0.2395378053188324],1
85,[0.20550434291362762],[0.20534564554691315],1
86,[0.19489707052707672],[0.19451741874217987],1
